fid,LENGTH,FEATURES,y,x,mgrs
"36",829.6108,Highway,"27.80573898","84.88398293",45RTL9154877479
"36",829.6108,Highway,"27.80588446","84.88416488",45RTL9156777495
"36",829.6108,Highway,"27.80599866","84.88429901",45RTL9158077507
"36",829.6108,Highway,"27.80608618","84.88437140",45RTL9158777517
"36",829.6108,Highway,"27.80642760","84.88460695",45RTL9161177554
"36",829.6108,Highway,"27.80655786","84.88469871",45RTL9162177569
"36",829.6108,Highway,"27.80680709","84.88488595",45RTL9164077596
"36",829.6108,Highway,"27.80704280","84.88506863",45RTL9165877622
"36",829.6108,Highway,"27.80721096","84.88523174",45RTL9167477640
"36",829.6108,Highway,"27.80731165","84.88536132",45RTL9168777651
"36",829.6108,Highway,"27.80742101","84.88554743",45RTL9170677663
"36",829.6108,Highway,"27.80759246","84.88590086",45RTL9174177681
"36",829.6108,Highway,"27.80816954","84.88738032",45RTL9188877743
"36",829.6108,Highway,"27.80827404","84.88761903",45RTL9191277754
"36",829.6108,Highway,"27.80834049","84.88780987",45RTL9193177761
"36",829.6108,Highway,"27.80837348","84.88794334",45RTL9194477764
"36",829.6108,Highway,"27.80839737","84.88808626",45RTL9195877767
"36",829.6108,Highway,"27.80841005","84.88821956",45RTL9197177768
"36",829.6108,Highway,"27.80841005","84.88821956",45RTL9197177768
"36",829.6108,Highway,"27.80840947","84.88831027",45RTL9198077768
"36",829.6108,Highway,"27.80840432","84.88840981",45RTL9199077767
"36",829.6108,Highway,"27.80838337","84.88850986",45RTL9200077764
"36",829.6108,Highway,"27.80834883","84.88861868",45RTL9201077760
"36",829.6108,Highway,"27.80828938","84.88874189",45RTL9202277754
"36",829.6108,Highway,"27.80800731","84.88910115",45RTL9205777722
"36",829.6108,Highway,"27.80770086","84.88939361",45RTL9208577687
"36",829.6108,Highway,"27.80767574","84.88944098",45RTL9209077684
"36",829.6108,Highway,"27.80766626","84.88951258",45RTL9209777683
"36",829.6108,Highway,"27.80766540","84.88964578",45RTL9211077683
"37",23.76875,Highway,"27.80526931","84.88263633",45RTL9141577429
"37",23.76875,Highway,"27.80523952","84.88270713",45RTL9142277426
"37",23.76875,Highway,"27.80521650","84.88277989",45RTL9142977423
"37",23.76875,Highway,"27.80521370","84.88286549",45RTL9143777423
"38",249.5621,Highway,"27.80513102","84.87778413",45RTL9093777422
"38",249.5621,Highway,"27.80516938","84.87849358",45RTL9100777425
"38",249.5621,Highway,"27.80520452","84.87899812",45RTL9105677428
"38",249.5621,Highway,"27.80522340","84.87922155",45RTL9107877430
"38",249.5621,Highway,"27.80523615","84.87934534",45RTL9109177431
