id,X,Y,Z,length,bridge,tunnel,grade,hz. angle
40,587508.6462039668,5590792.906452056,2994722.481810801,3.2432710841679397,0,0,-3.0833068653453006,13.630605186932986
41,587508.5520662869,5590793.043323418,2994722.2479085345,0.28689012342023873,0,0,0.0,19.373463968515587
42,587507.5858129342,5590794.363074568,2994719.7934012543,2.9495753300654743,0,0,-3.390318564869572,1.690154913190895
43,587507.3847962186,5590795.829913222,2994716.9198184065,3.2325689073628583,0,0,-3.093514875189563,28.406402106363707
44,587508.6874781314,5590798.368820913,2994712.201319046,5.514278615093044,0,0,1.8134738372905992,34.96504622615966
45,587488.5552388565,5590804.972309478,2994702.8817889527,23.146636053650166,0,0,-2.1601411057791755,99.00201077057346
46,587387.131187924,5590839.560288226,2994659.429872217,115.63405834560585,0,0,0.25943913436240185,0.670795774561969
47,587330.2051645058,5590859.640347486,2994632.6147584603,66.05173160402562,0,0,-0.6055859404230951,0.5991815396417253
48,587234.4685389064,5590892.597043603,2994590.008052911,109.84979134165822,0,0,-0.18206680008885887,0.4340775464485835
49,587112.1715795025,5590933.151237237,2994534.9609206514,140.11201115823167,0,0,-1.3560579027405897,0.6499421107082322
50,587060.8381436238,5590951.259692107,2994512.3733039056,58.934185386369805,0,0,0.6787232187525724,1.0851337495072957
51,587004.8506802556,5590971.086189695,2994487.0986421932,64.54838948930913,0,0,0.30984506597669736,0.06939504340590383
52,586945.698670524,5590987.17858974,2994459.630521669,67.17457286518975,0,0,-6.550097473385026,4.28118953797354
53,586877.5989813226,5591008.540830955,2994429.4453602633,77.49230276713917,0,0,-2.4518564194812877,2.197077100193252
54,586812.9299880693,5591032.325992456,2994400.656903541,74.67655479769478,0,0,1.606930050871837,2.7772909663970227
55,586732.5057247785,5591060.159928312,2994363.2431650455,92.96546638039588,0,0,-0.8605345954233332,1.1032853230508703
56,586716.0342423003,5591066.029225656,2994354.982766088,19.338887695012403,0,0,-1.5512784640527166,0.5223885451525058
57,586600.964096147,5591103.955473167,2994305.668654261,130.81062805177305,0,0,-0.6115711023750497,1.3707238697500181
