id,X,Y,Z,length,bridge,tunnel,grade,hz. angle,speed,time,
1708,543140.218,3097947.607,454.613,93.12635464,0,0,-0.811800272,54.29478799,71.86571829,4.665018101,120223.1411
1709,543095.15,3097795.503,455.75,158.6443955,0,0,0.716697238,70.02704913,61.02808448,9.35831148,120381.7855
1710,542959.9461,3097694.1,463.104,169.1648436,0,0,4.347238968,36.62566933,80,7.612417961,120550.9503
1711,542881.1751,3097623.933,466.082,105.5326813,0,0,2.821874669,4.823836529,80,4.748970657,120656.483
1712,542801.2324,3097584.009,474.42,89.74565897,0,0,9.29070007,15.15585877,80,4.038554653,120746.2286
1713,542721.2898,3097623.933,480.489,89.56326162,0,0,6.776215929,53.07582014,67.88475807,4.749633806,120835.7919
1714,542695.1717,3097650.44,484.728,37.45324175,0,0,11.3181124,18.88548426,75.4929764,1.786016087,120873.2451
1715,542651.5121,3097657.482,483.445,44.24247422,0,0,-2.899928231,36.26089657,55.21561169,2.88456294,120917.4876
1716,542640.2451,3097625.09,481.581,34.34619992,0,0,-5.427092384,79.98316103,34.53462688,3.580357771,120951.8338
1717,542641.3471,3097584.009,483.528,41.14187373,0,0,4.732404783,20.71594487,72.61594966,2.039644818,120992.9757
1718,542641.3471,3097544.084,486.836,40.06180836,0,0,8.257240837,1.536593821,80,1.802781376,121033.0375
1719,542643.0618,3097477.21,498.717,67.94284534,0,0,17.48675661,1.468785347,80,3.05742804,121100.9803
1720,542597.9939,3097440.593,497.391,58.08337607,0,0,-2.28292515,52.37543858,55.27499095,3.782907066,121159.0637
1721,542481.4618,3097464.235,505.084,119.1547596,0,0,6.456309445,50.56184092,58.0637955,7.387686784,121278.2185
1722,542441.4905,3097464.235,508.572,40.12319738,0,0,8.693225436,11.46849415,80,1.805543882,121318.3417
1723,542361.5478,3097424.31,508.841,89.35834191,0,0,0.301035129,26.53846939,67.33006235,4.777806817,121407.7
1724,542281.6052,3097464.235,509.543,89.36060499,0,0,0.785581074,53.07696742,70.59435877,4.556995539,121497.0606
1725,542201.6625,3097504.159,508.219,89.36729847,0,0,-1.481526266,0.000602286,80,4.021528431,121586.4279
1726,542121.7199,3097464.235,509.379,89.36492976,0,0,1.298048354,53.07582014,70.82008821,4.542690574,121675.7929
1727,542041.7772,3097424.31,513.357,89.44643868,0,0,4.447354259,0.000544989,80,4.025089741,121765.2393
1728,542001.8059,3097384.385,514.273,56.50265042,0,0,1.621162889,18.42832765,80,2.542619269,121821.7419
1729,541921.8632,3097344.461,516.094,89.37604321,0,0,2.037458736,18.42890128,80,4.021921945,121911.118
1730,541881.8919,3097344.461,516.066,39.97130981,0,0,-0.070050244,26.53789575,68.55813727,2.098900598,121951.0893
1731,541801.9493,3097384.385,515.753,89.35794895,0,0,-0.350276616,26.5379244,68.97017277,4.664170079,122040.4472
1732,541761.9779,3097464.235,515.952,89.2959961,0,0,0.222854337,36.87039544,80,4.018319824,122129.7432
1733,541722.0066,3097504.159,516.059,56.49461964,0,0,0.189398567,18.44224035,80,2.542257884,122186.2379
1734,541682.0353,3097544.084,516.331,56.49587978,0,0,0.481451039,0.000717551,80,2.54231459,122242.7337
1735,541642.064,3097584.009,513.282,56.57744117,0,0,-5.389073696,0,80,2.545984853,122299.3112
1736,541602.0926,3097663.858,509.476,89.37595457,0,0,-4.258416057,18.44123558,80,4.021917956,122388.6871
1737,541562.1213,3097743.707,506.333,89.35013192,0,0,-3.517622115,5.74E-05,80,4.020755936,122478.0373
1738,541522.15,3097783.632,502.536,56.62267795,0,0,-6.705793752,18.44129296,80,2.548020508,122534.6599
1739,541482.1787,3097823.556,500.798,56.52124595,0,0,-3.074949907,0.000717552,80,2.543456068,122591.1812
1740,541402.236,3097863.481,499.462,89.3679238,0,0,-1.494943536,18.42761009,80,4.021556571,122680.5491
1741,541362.2647,3097903.406,498.507,56.50329613,0,0,-1.690166885,18.42832765,80,2.542648326,122737.0524
1742,541322.2933,3097943.33,499.334,56.50064179,0,0,1.463700188,0.000789222,80,2.542528881,122793.5531
1743,541282.322,3098023.18,498.704,89.29795196,0,0,-0.705503302,18.4423694,80,4.018407838,122882.851
1744,541282.322,3098063.104,496.872,39.96601056,0,0,-4.583895101,26.59162279,69.68856221,2.064580377,122922.817
1745,541242.3507,3098142.954,496.659,89.29598363,0,0,-0.238532565,26.59162279,69.60925698,4.618143549,123012.113
1746,541242.3507,3098182.878,495.744,39.93448386,0,0,-2.291252851,26.59162279,69.21858144,2.076958801,123052.0475
1747,541242.3507,3098222.803,495.749,39.92500031,0,0,0.012523481,0,80,1.796625014,123091.9725
1748,541242.3507,3098262.728,493.813,39.97191165,0,0,-4.843401079,0,80,1.798736024,123131.9444
1749,541242.3507,3098302.652,493.229,39.92827109,0,0,-1.462622809,0,80,1.796772199,123171.8727
1750,541282.322,3098382.502,492.252,89.3010742,0,0,-1.094051789,26.59162279,69.22317624,4.644165214,123261.1737
1751,541282.322,3098422.426,492.237,39.92400282,0,0,-0.037571383,26.59162279,68.97924278,2.083618265,123301.0977
1752,541282.322,3098462.351,492.133,39.92513545,0,0,-0.260487532,0,80,1.796631095,123341.0229
1753,541282.322,3098502.276,492.379,39.92575786,0,0,0.616143595,0,80,1.796659104,123380.9486
1754,541282.322,3098542.2,492.417,39.92401808,0,0,0.0951808,0,80,1.796580814,123420.8727
1755,541322.2933,3098622.049,492.271,89.29495473,0,0,-0.163503079,26.59191001,68.79628338,4.672662842,123510.1676
1756,541282.322,3098661.974,492.907,56.49880481,0,0,1.125687529,71.62511298,46.71361773,4.354098594,123566.6664
1757,541242.3507,3098741.823,492.635,89.29524964,0,0,-0.304607469,18.44129296,80,4.018286234,123655.9617
1758,541202.3794,3098821.673,490.524,89.32067871,0,0,-2.363394491,0.00028722,80,4.019430542,123745.2823
1759,541122.4367,3098861.597,489.542,89.36288594,0,0,-1.098890204,36.87048146,80,4.021329867,123834.6452
1760,541162.408,3098941.447,484.409,89.44313843,0,0,-5.738841559,90.05372704,50.83132659,6.334583809,123924.0884
1761,541122.4367,3099021.296,482.413,89.3171408,0,0,-2.234733425,53.1835328,72.07490036,4.461216114,124013.4055
1762,541082.4654,3099101.145,482.393,89.29483761,0,0,-0.022397711,1.21E-06,80,4.018267693,124102.7003
1763,541042.4941,3099141.07,480.112,56.54125405,0,0,-4.034222513,18.44129296,80,2.544356432,124159.2416
1764,541002.5227,3099180.995,477.901,56.53854406,0,0,-3.910606537,7.17E-05,80,2.544234483,124215.7801
1765,540962.5514,3099220.919,474.592,56.59134281,0,0,-5.847184102,0.00064588,80,2.546610426,124272.3715
1766,540882.6088,3099260.844,465.925,89.77717866,0,0,-9.653901057,18.42758145,80,4.03997304,124362.1487
1767,540842.6374,3099300.769,462.513,56.59823484,0,0,-6.028456558,18.42822733,80,2.546920568,124418.7469
1768,540762.6948,3099340.693,461.389,89.36446971,0,0,-1.25777057,18.42880096,80,4.021401137,124508.1114
1769,540722.7235,3099420.542,460.44,89.29987808,0,0,-1.062711417,36.87016559,80,4.018494514,124597.4113
1770,540642.7808,3099460.467,459.904,89.35954456,0,0,-0.599824006,36.8696206,80,4.021179505,124686.7708
1771,540602.8095,3099500.392,459.371,56.49773923,0,0,-0.943400581,18.42832765,80,2.542398265,124743.2685
1772,540522.8668,3099540.316,459.236,89.3575922,0,0,-0.151078377,18.42890128,80,4.021091649,124832.6261
1773,540482.8955,3099580.241,459.117,56.49535034,0,0,-0.210636803,18.42890128,80,2.542290765,124889.1215
1774,540442.9242,3099660.09,458.514,89.29687135,0,0,-0.675275618,18.44129296,80,4.018359211,124978.4183
1775,540362.9815,3099620.166,457.944,89.35930818,0,0,-0.637874231,89.94598574,50.19480724,6.408900187,125067.7777
1776,540283.0389,3099660.09,456.95,89.36292915,0,0,-1.11231806,53.07582014,71.09668097,4.524916502,125157.1406
1777,540243.0675,3099700.015,456.399,56.49798265,0,0,-0.975256061,18.42880096,80,2.542409219,125213.6386
