fid,field_1_1,Name,osm_id,ref,oneway,maxspeed,bridge,tunnel,y,x,z
139,"10541",Prithvi Highway,"478266440",H04,B,"0",F,F,28.179192300000000,84.043870299999995,756.200000000000045
140,"10543",Prithvi Highway,"478266440",H04,B,"0",F,F,28.179030699999998,84.044125100000002,754.700000000000045
141,"10545",Prithvi Highway,"478266440",H04,B,"0",F,F,28.178569899999999,84.044877099999994,754.899999999999977
142,"10547",Prithvi Highway,"478266440",H04,B,"0",F,F,28.178280200000000,84.045348500000003,754.000000000000000
143,"10549",Prithvi Highway,"478266440",H04,B,"0",F,F,28.178058900000000,84.045670299999998,754.399999999999977
144,"10551",Prithvi Highway,"478266440",H04,B,"0",F,F,28.177957899999999,84.045820599999999,754.600000000000023
145,"10553",Prithvi Highway,"478266440",H04,B,"0",F,F,28.177799300000000,84.046053000000001,754.000000000000000
146,"10555",Prithvi Highway,"478266440",H04,B,"0",F,F,28.177600200000001,84.046298399999998,752.700000000000045
147,"10557",Prithvi Highway,"478266440",H04,B,"0",F,F,28.175501199999999,84.049021300000007,745.500000000000000
148,"10559",Prithvi Highway,"478266440",H04,B,"0",F,F,28.175270999999999,84.049331400000000,745.000000000000000
149,"10561",Prithvi Highway,"478266440",H04,B,"0",F,F,28.175094500000000,84.049557899999996,745.000000000000000
150,"10563",Prithvi Highway,"478266440",H04,B,"0",F,F,28.175086000000000,84.049568300000004,745.000000000000000
151,"10565",Prithvi Highway,"478266440",H04,B,"0",F,F,28.174970999999999,84.049731399999999,745.000000000000000
152,"10567",Prithvi Highway,"478266440",H04,B,"0",F,F,28.174630700000002,84.050167900000005,743.500000000000000
153,"10569",Prithvi Highway,"478266440",H04,B,"0",F,F,28.174586699999999,84.050224400000005,743.100000000000023
154,"10571",Prithvi Highway,"478266440",H04,B,"0",F,F,28.173874399999999,84.051159499999997,740.899999999999977
155,"10573",Prithvi Highway,"478266440",H04,B,"0",F,F,28.172712300000001,84.052676599999998,738.899999999999977
156,"10575",Prithvi Highway,"478266440",H04,B,"0",F,F,28.172407100000001,84.053086800000003,736.299999999999955
157,"10577",Prithvi Highway,"478266440",H04,B,"0",F,F,28.172348000000000,84.053166300000001,735.700000000000045
158,"10579",Prithvi Highway,"478266440",H04,B,"0",F,F,28.171980200000000,84.053633800000000,733.299999999999955
159,"10581",,"478266511",H04,B,"0",T,F,28.171810600000001,84.053855100000007,731.600000000000023
160,"174",Prithvi Highway,"24811305",H04,B,"0",F,F,28.171591599999999,84.054140799999999,730.600000000000023
161,"175",Prithvi Highway,"24811305",H04,B,"0",F,F,28.171494599999999,84.054272800000007,730.600000000000023
162,"177",Prithvi Highway,"24811305",H04,B,"0",F,F,28.171204400000001,84.054667699999996,731.899999999999977
163,"179",Prithvi Highway,"24811305",H04,B,"0",F,F,28.171033699999999,84.054858899999999,732.399999999999977
164,"181",Prithvi Highway,"24811305",H04,B,"0",F,F,28.170905999999999,84.054975299999995,732.200000000000045
165,"183",Prithvi Highway,"24811305",H04,B,"0",F,F,28.170770800000000,84.055093099999993,732.299999999999955
166,"185",Prithvi Highway,"24811305",H04,B,"0",F,F,28.170557599999999,84.055256000000000,732.000000000000000
167,"187",Prithvi Highway,"24811305",H04,B,"0",F,F,28.170351400000001,84.055389300000002,732.500000000000000
168,"189",Prithvi Highway,"24811305",H04,B,"0",F,F,28.170121200000001,84.055497700000004,733.899999999999977
169,"191",Prithvi Highway,"24811305",H04,B,"0",F,F,28.169940700000001,84.055555100000007,734.799999999999955
170,"193",Prithvi Highway,"24811305",H04,B,"0",F,F,28.169518799999999,84.055670399999997,732.399999999999977
171,"195",Prithvi Highway,"24811305",H04,B,"0",F,F,28.167411999999999,84.056119400000000,729.399999999999977
172,"197",Prithvi Highway,"24811305",H04,B,"0",F,F,28.166024400000001,84.056415700000002,726.500000000000000
173,"199",Prithvi Highway,"24811305",H04,B,"0",F,F,28.164676400000001,84.056728800000002,723.500000000000000
174,"201",Prithvi Highway,"24811305",H04,B,"0",F,F,28.164321800000000,84.056788400000002,721.600000000000023
175,"203",Prithvi Highway,"24811305",H04,B,"0",F,F,28.163404100000001,84.056994900000007,723.100000000000023
176,"205",Prithvi Highway,"24811305",H04,B,"0",F,F,28.163010100000001,84.057083599999999,724.100000000000023
177,"207",Prithvi Highway,"24811305",H04,B,"0",F,F,28.162911999999999,84.057108099999994,724.200000000000045
178,"209",Prithvi Highway,"24811305",H04,B,"0",F,F,28.162881299999999,84.057115699999997,724.200000000000045
179,"211",Prithvi Highway,"24811305",H04,B,"0",F,F,28.162455999999999,84.057180200000005,723.399999999999977
180,"213",Prithvi Highway,"24811305",H04,B,"0",F,F,28.162026900000001,84.057265500000000,721.000000000000000
181,"215",Prithvi Highway,"24811305",H04,B,"0",F,F,28.161890499999998,84.057304299999998,722.000000000000000
182,"217",Prithvi Highway,"24811305",H04,B,"0",F,F,28.161620599999999,84.057379400000002,726.299999999999955
183,"219",Prithvi Highway,"24811305",H04,B,"0",F,F,28.161227700000001,84.057493600000001,729.500000000000000
184,"221",Prithvi Highway,"24811305",H04,B,"0",F,F,28.160907099999999,84.057609799999994,725.600000000000023
185,"223",Prithvi Highway,"24811305",H04,B,"0",F,F,28.160849899999999,84.057636299999999,724.899999999999977
186,"225",Prithvi Highway,"24811305",H04,B,"0",F,F,28.159441800000000,84.058288800000000,716.000000000000000
187,"227",Prithvi Highway,"24811305",H04,B,"0",F,F,28.159274000000000,84.058359300000006,715.399999999999977
188,"229",Prithvi Highway,"24811305",H04,B,"0",F,F,28.158999399999999,84.058501800000002,714.000000000000000
189,"231",Prithvi Highway,"24811305",H04,B,"0",F,F,28.158677000000001,84.058629199999999,713.100000000000023
190,"233",Prithvi Highway,"24811305",H04,B,"0",F,F,28.158484200000000,84.058712099999994,712.700000000000045
191,"235",Prithvi Highway,"24811305",H04,B,"0",F,F,28.157562100000000,84.059166200000007,709.799999999999955
192,"237",Prithvi Highway,"24811305",H04,B,"0",F,F,28.156384200000002,84.059911400000004,710.700000000000045
193,"239",Prithvi Highway,"24811305",H04,B,"0",F,F,28.156039400000001,84.060152799999997,708.899999999999977
194,"241",Prithvi Highway,"24811305",H04,B,"0",F,F,28.155711400000001,84.060372700000002,706.700000000000045
195,"243",Prithvi Highway,"24811305",H04,B,"0",F,F,28.154562400000000,84.061163399999998,705.899999999999977
196,"245",Prithvi Highway,"24811305",H04,B,"0",F,F,28.153857800000001,84.061619699999994,704.100000000000023
197,"247",Prithvi Highway,"24811305",H04,B,"0",F,F,28.153241699999999,84.062037700000005,702.100000000000023
198,"249",Prithvi Highway,"24811305",H04,B,"0",F,F,28.152652900000000,84.062513800000005,699.100000000000023
