id,lat,lon,alt,x,y,z,length,grade,hz. angle
2107,27.9437777,84.4545207,401.1,544531.1506582361,5608505.9870995255,2969020.680590488,17.625342961177754,-7.375743001786596,4.636942518182715
2108,27.9437134,84.4547072,399.6,544513.0908356629,5608509.779238268,2969013.6962280036,19.731163851388715,-7.602187135526865,0.2778287952071712
2109,27.9436262,84.4548767,397.9,544496.7934346837,5608514.42291826,2969004.381045772,19.337571268169423,-8.791176391413371,4.045551758920841
2110,27.943595,84.4549204,397.5,544492.6388975672,5608516.106470058,2969001.145679717,5.528301621617541,-7.235495227609165,6.1553284318409345
2111,27.9435499,84.4549607,398.0,544488.9640662478,5608519.270771113,2968996.974164183,6.396774831688919,7.816438958005134,18.67150895530255
2112,27.9434495,84.4550431,399.2,544481.506679793,5608526.321920864,2968987.728406785,13.813593138853603,8.687095297636493,2.6652664246908238
2113,27.943326,84.4551216,400.9,544474.590149974,5608534.975015015,2968976.460292012,15.801418723140209,10.758527634676517,7.968058125882169
2114,27.9431881,84.4551902,400.8,544468.561618354,5608542.698967962,2968962.941943294,16.69575978120056,-0.5989544729348943,0.6638204965832156
2115,27.94238,84.4558751,405.2,544405.9665786601,5608595.033109832,2968886.0598532986,112.10645459388923,3.9248409165548757,12.129875539907182
2116,27.9422882,84.4559732,405.3,544396.834891725,5608600.819411884,2968877.1386614046,14.016299887335823,0.7134550544996254,7.537719681030606
2117,27.9422074,84.4560725,404.3,544387.4364034415,5608605.078750278,2968868.776627115,13.281459371211954,-7.529293069762622,7.980681786994367
2118,27.94075975,84.45815263,417.5,544192.2336678749,5608711.60623272,2968733.537871635,260.2724216507878,5.071609168685058,4.24275925347097
2119,27.9407986,84.4580821,418.0,544198.9848367092,5608709.358985203,2968737.567515372,8.177189656443796,6.114570176392932,169.78843858405259
2120,27.9405608,84.4584247,418.5,544166.6880439136,5608725.398582841,2968714.5704283547,42.7693526786134,1.1690614159096742,172.00051321108674
2121,27.9403322,84.4587756,423.3,544133.89905314,5608744.820110886,2968694.48683679,43.07742236589855,11.142727991542603,4.228614025608808
2122,27.9401591,84.4591235,426.8,544101.0131002269,5608760.188401133,2968679.2160407486,39.381054529322235,8.887522291699883,5.59138362843331
2123,27.9399916,84.4594866,426.8,544066.3122877647,5608772.332469639,2968662.852370623,40.2417008264256,0.0,5.759405239700082
2124,27.9397978,84.4598772,424.1,544028.821470889,5608783.728643892,2968642.6542607658,44.083985521030286,-6.124673094069393,2.3804325905398
2125,27.9396161,84.4602866,424.7,543989.7106577238,5608797.5765488865,2968625.184413685,45.017949044747795,1.3328017218278125,2.589622993381027
2126,27.938823,84.4619691,423.2,543828.8714779606,5608853.403661961,2968547.000275967,187.34638425064435,-0.800655964618565,0.35561314324548654
2127,27.9384265,84.462817,424.7,543747.9913545668,5608883.354084484,2968508.9670677874,94.2610582053187,1.5913252286354687,1.1780756634061702
