fid,field_1,Name,osm_id,code,fclass,ref,oneway,maxspeed,bridge,tunnel,len,distance,angle,y,x,z
"784","6429",Prithvi Highway,"216640246","5112",trunk,H04,B,"0",F,F,5.471186926,5.53e-05,101.1475069,27.998035,84.1641891,512.2
"785","6431",Prithvi Highway,"216640246","5112",trunk,H04,B,"0",F,F,6.783617906,6.8e-05,108.7812231,27.9980131,84.1642535,512.2
"786","6433",Prithvi Highway,"216640246","5112",trunk,H04,B,"0",F,F,8.24770038,8.21e-05,113.7852788,27.99798,84.1643286,512.2
"787","6435",Prithvi Highway,"216640246","5112",trunk,H04,B,"0",F,F,5.066652124,4.99e-05,119.9586705,27.9979551,84.1643718,512.2
"788","6437",Prithvi Highway,"216640246","5112",trunk,H04,B,"0",F,F,14.99438786,0.000146937,122.1541816,27.9978769,84.1644962,511.9
"789","6439",Prithvi Highway,"216640246","5112",trunk,H04,B,"0",F,F,41.91112089,0.000407235,126.3718328,27.9976354,84.1648241,509.3
"790","6441",Prithvi Highway,"216640246","5112",trunk,H04,B,"0",F,F,226.4355079,0.002187056,129.2682093,27.9962511,84.1665173,511.8
"791","6443",Prithvi Highway,"216640246","5112",trunk,H04,B,"0",F,F,176.3648017,0.001703122,129.3554466,27.9951711,84.1678342,511.7
"792","6445",Prithvi Highway,"216640246","5112",trunk,H04,B,"0",F,F,17.17937555,0.000168288,122.3301857,27.9950811,84.1679764,512.7
"793","6447",Prithvi Highway,"216640246","5112",trunk,H04,B,"0",F,F,19.98113187,0.000196405,120.5735189,27.9949812,84.1681455,514.3
"794","6449",Prithvi Highway,"216640246","5112",trunk,H04,B,"0",F,F,15.12393336,0.000149817,116.3940195,27.9949146,84.1682797,515.5
"795","6451",Prithvi Highway,"216640246","5112",trunk,H04,B,"0",F,F,20.58179975,0.000205346,112.143377,27.9948372,84.1684699,516.1
"796","6453",Prithvi Highway,"216640246","5112",trunk,H04,B,"0",F,F,46.95019067,0.000472963,105.1616198,27.9947135,84.1689264,514.9
"797","6455",Prithvi Highway,"216640246","5112",trunk,H04,B,"0",F,F,106.5531566,0.00107338,105.1652313,27.9944327,84.1699624,517
"798","6457",Prithvi Highway,"216640246","5112",trunk,H04,B,"0",F,F,41.70757529,0.000420042,105.3795393,27.9943213,84.1703674,516.5
"799","6459",Prithvi Highway,"216640246","5112",trunk,H04,B,"0",F,F,97.78764421,0.000985841,104.4859059,27.9940747,84.1713219,516.6
"800","6461",Prithvi Highway,"216640246","5112",trunk,H04,B,"0",F,F,19.74383531,0.00019931,103.2553344,27.994029,84.1715159,517.7
"801","6463",Prithvi Highway,"216640246","5112",trunk,H04,B,"0",F,F,147.7193828,0.001488281,105.0400356,27.9936428,84.1729532,523
