id,fid,X,Y,Z,name,ref,oneway,maxspeed,bridge,tunnel
120,156,503568.6365,3118579.012,783.2,Prithvi Highway,H04,B,0,F,F
121,156,503627.2307,3118511.423,781,Prithvi Highway,H04,B,0,F,F
122,156,503706.8432,3118421.158,780,Prithvi Highway,H04,B,0,F,F
123,156,503785.9072,3118330.782,778.8,Prithvi Highway,H04,B,0,F,F
124,156,503808.8408,3118304.726,777.5,Prithvi Highway,H04,B,0,F,F
125,156,503825.5763,3118288.01,776.7,Prithvi Highway,H04,B,0,F,F
126,156,503877.8176,3118231.014,775,Prithvi Highway,H04,B,0,F,F
127,156,503932.0703,3118180.279,773.5,Prithvi Highway,H04,B,0,F,F
128,156,503938.7094,3118174.364,773.6,Prithvi Highway,H04,B,0,F,F
129,156,503954.6893,3118157.581,773.1,Prithvi Highway,H04,B,0,F,F
130,156,504017.626,3118094.761,770.6,Prithvi Highway,H04,B,0,F,F
131,156,504079.9734,3118034.721,767.2,Prithvi Highway,H04,B,0,F,F
132,156,504093.0067,3118022.126,767,Prithvi Highway,H04,B,0,F,F
133,156,504124.5923,3117994.434,766,Prithvi Highway,H04,B,0,F,F
134,156,504167.8443,3117961.715,765,Prithvi Highway,H04,B,0,F,F
135,156,504206.0088,3117933.748,764,Prithvi Highway,H04,B,0,F,F
136,156,504242.6901,3117908.152,764.2,Prithvi Highway,H04,B,0,F,F
137,156,504279.8624,3117882.855,763.3,Prithvi Highway,H04,B,0,F,F
138,156,504355.7014,3117827.731,761.1,Prithvi Highway,H04,B,0,F,F
139,156,504422.5536,3117782.244,759,Prithvi Highway,H04,B,0,F,F
140,156,504459.9726,3117755.386,757.8,Prithvi Highway,H04,B,0,F,F
141,156,504493.9933,3117732.084,757.8,Prithvi Highway,H04,B,0,F,F
142,156,504523.1821,3117711.849,756.2,Prithvi Highway,H04,B,0,F,F
143,156,504548.207,3117693.951,754.7,Prithvi Highway,H04,B,0,F,F
144,156,504622.0636,3117642.917,754.9,Prithvi Highway,H04,B,0,F,F
145,156,504668.3618,3117610.832,754,Prithvi Highway,H04,B,0,F,F
146,156,504699.9683,3117586.322,754.4,Prithvi Highway,H04,B,0,F,F
147,156,504714.7303,3117575.135,754.6,Prithvi Highway,H04,B,0,F,F
148,156,504737.5562,3117557.57,754,Prithvi Highway,H04,B,0,F,F
149,156,504761.6603,3117535.516,752.7,Prithvi Highway,H04,B,0,F,F
150,156,505029.1151,3117303.03,745.5,Prithvi Highway,H04,B,0,F,F
151,156,505059.5747,3117277.534,745,Prithvi Highway,H04,B,0,F,F
152,156,505081.8231,3117257.985,745,Prithvi Highway,H04,B,0,F,F
153,156,505082.8447,3117257.043,745,Prithvi Highway,H04,B,0,F,F
154,156,505098.865,3117244.307,745,Prithvi Highway,H04,B,0,F,F
155,156,505141.7415,3117206.615,743.5,Prithvi Highway,H04,B,0,F,F
156,156,505147.2913,3117201.742,743.1,Prithvi Highway,H04,B,0,F,F
157,156,505239.1444,3117122.85,740.9,Prithvi Highway,H04,B,0,F,F
158,156,505388.1691,3116994.141,738.9,Prithvi Highway,H04,B,0,F,F
159,156,505428.4631,3116960.339,736.3,Prithvi Highway,H04,B,0,F,F
160,156,505436.2724,3116953.794,735.7,Prithvi Highway,H04,B,0,F,F
161,156,505482.1964,3116913.058,733.3,Prithvi Highway,H04,B,0,F,F
162,157,505503.9352,3116894.274,731.6,,H04,B,0,T,F
163,157,505532.0004,3116870.019,730.6,,H04,B,0,T,F
164,8,505544.967,3116859.276,730.6,Prithvi Highway,H04,B,0,F,F
165,8,505583.7588,3116827.136,731.9,Prithvi Highway,H04,B,0,F,F
166,8,505602.5423,3116808.229,732.4,Prithvi Highway,H04,B,0,F,F
167,8,505613.9787,3116794.084,732.2,Prithvi Highway,H04,B,0,F,F
168,8,505625.553,3116779.108,732.3,Prithvi Highway,H04,B,0,F,F
169,8,505641.5598,3116755.49,732,Prithvi Highway,H04,B,0,F,F
170,8,505654.6598,3116732.647,732.5,Prithvi Highway,H04,B,0,F,F
171,8,505665.316,3116707.143,733.9,Prithvi Highway,H04,B,0,F,F
172,8,505670.9616,3116687.145,734.8,Prithvi Highway,H04,B,0,F,F
173,8,505682.3051,3116640.399,732.4,Prithvi Highway,H04,B,0,F,F
174,8,505726.5036,3116406.964,729.4,Prithvi Highway,H04,B,0,F,F
175,8,505755.6714,3116253.217,726.5,Prithvi Highway,H04,B,0,F,F
176,8,505786.4877,3116103.859,723.5,Prithvi Highway,H04,B,0,F,F
177,8,505792.3589,3116064.568,721.6,Prithvi Highway,H04,B,0,F,F
178,8,505812.6853,3115962.887,723.1,Prithvi Highway,H04,B,0,F,F
179,8,505821.4164,3115919.232,724.1,Prithvi Highway,H04,B,0,F,F
180,8,505823.8275,3115908.363,724.2,Prithvi Highway,H04,B,0,F,F
181,8,505824.5755,3115904.961,724.2,Prithvi Highway,H04,B,0,F,F
182,8,505830.9318,3115857.836,723.4,Prithvi Highway,H04,B,0,F,F
183,8,505839.331,3115810.292,721,Prithvi Highway,H04,B,0,F,F
184,8,505843.1484,3115795.179,722,Prithvi Highway,H04,B,0,F,F
185,8,505850.5377,3115765.275,726.3,Prithvi Highway,H04,B,0,F,F
186,8,505861.7732,3115721.743,729.5,Prithvi Highway,H04,B,0,F,F
187,8,505873.2015,3115686.222,725.6,Prithvi Highway,H04,B,0,F,F
188,8,505875.8069,3115679.885,724.9,Prithvi Highway,H04,B,0,F,F
189,8,505939.9606,3115523.884,716,Prithvi Highway,H04,B,0,F,F
190,8,505946.8931,3115505.293,715.4,Prithvi Highway,H04,B,0,F,F
191,8,505960.9021,3115474.871,714,Prithvi Highway,H04,B,0,F,F
192,8,505973.4309,3115439.152,713.1,Prithvi Highway,H04,B,0,F,F
193,8,505981.5826,3115417.792,712.7,Prithvi Highway,H04,B,0,F,F
194,8,506026.2283,3115315.635,709.8,Prithvi Highway,H04,B,0,F,F
195,8,506099.4773,3115185.148,710.7,Prithvi Highway,H04,B,0,F,F
196,8,506123.2039,3115146.952,708.9,Prithvi Highway,H04,B,0,F,F
197,8,506144.8182,3115110.617,706.7,Prithvi Highway,H04,B,0,F,F
198,8,506222.5368,3114983.335,705.9,Prithvi Highway,H04,B,0,F,F
199,8,506267.39,3114905.281,704.1,Prithvi Highway,H04,B,0,F,F
200,8,506308.4772,3114837.032,702.1,Prithvi Highway,H04,B,0,F,F
201,8,506355.2695,3114771.811,699.1,Prithvi Highway,H04,B,0,F,F
202,8,506409.3166,3114694.704,700.9,Prithvi Highway,H04,B,0,F,F
203,8,506481.9582,3114595.19,695.9,Prithvi Highway,H04,B,0,F,F
204,8,506508.1384,3114565.019,695.8,Prithvi Highway,H04,B,0,F,F
205,8,506510.6152,3114561.596,695.7,Prithvi Highway,H04,B,0,F,F
206,8,506542.6331,3114524.414,693.1,Prithvi Highway,H04,B,0,F,F
207,8,506569.0004,3114493.789,691.6,Prithvi Highway,H04,B,0,F,F
208,8,506603.771,3114452.342,689,Prithvi Highway,H04,B,0,F,F
209,8,506608.5768,3114446.616,688.7,Prithvi Highway,H04,B,0,F,F
210,8,506732.5752,3114299.627,686.1,Prithvi Highway,H04,B,0,F,F
211,8,506755.6022,3114272.458,686,Prithvi Highway,H04,B,0,F,F
212,8,506857.2172,3114166.502,686.5,Prithvi Highway,H04,B,0,F,F
213,8,506940.1711,3114080.538,685,Prithvi Highway,H04,B,0,F,F
214,8,506978.2926,3114040.557,684.7,Prithvi Highway,H04,B,0,F,F
215,8,507022.4292,3113993.853,681.3,Prithvi Highway,H04,B,0,F,F
216,8,507071.8231,3113943.286,679.1,Prithvi Highway,H04,B,0,F,F
217,8,507115.8039,3113895.441,678,Prithvi Highway,H04,B,0,F,F
218,8,507210.9149,3113803.469,675,Prithvi Highway,H04,B,0,F,F
219,8,507239.1106,3113775.905,673.6,Prithvi Highway,H04,B,0,F,F
220,8,507272.1907,3113743.789,672.2,Prithvi Highway,H04,B,0,F,F
221,8,507307.8953,3113708.628,666.9,Prithvi Highway,H04,B,0,F,F
222,8,507336.4071,3113678.815,663.1,Prithvi Highway,H04,B,0,F,F
223,8,507373.8001,3113645.883,664.8,Prithvi Highway,H04,B,0,F,F
224,8,507418.5771,3113600.965,663.5,Prithvi Highway,H04,B,0,F,F
225,8,507459.732,3113568.944,662.8,Prithvi Highway,H04,B,0,F,F
226,8,507464.2241,3113563.439,662.7,Prithvi Highway,H04,B,0,F,F
227,8,507493.318,3113530.69,666.1,Prithvi Highway,H04,B,0,F,F
228,8,507519.5048,3113497.563,666.5,Prithvi Highway,H04,B,0,F,F
229,8,507542.8914,3113466.118,666.8,Prithvi Highway,H04,B,0,F,F
230,8,507567.7801,3113435.949,665.8,Prithvi Highway,H04,B,0,F,F
231,8,507589.9454,3113410.188,665,Prithvi Highway,H04,B,0,F,F
232,8,507613.5445,3113385.171,665.6,Prithvi Highway,H04,B,0,F,F
233,8,507653.3206,3113345.204,664.6,Prithvi Highway,H04,B,0,F,F
234,8,507745.1906,3113250.564,661.1,Prithvi Highway,H04,B,0,F,F
235,8,507772.4964,3113220.673,660.9,Prithvi Highway,H04,B,0,F,F
