fid,X,Y,Z,bridge,osm_id,code,fclass,name,ref,oneway,maxspeed,tunnel,len,Length,vertex_index,vertex_part,vertex_part_index,distance,angle,
1004,617624.7827,3069596.455,979.205,F,,,,,,,0,F,,10908.6883,32,0,32,4932.414349,244.6404263,FALSE
1004,617448.5988,3069442.44,973.167,F,,,,,,,0,F,,10908.6883,33,0,33,5166.426008,260.7141298,FALSE
1004,617302.7511,3069503.113,960.003,F,,,,,,,0,F,,10908.6883,34,0,34,5324.390275,250.2521118,FALSE
1004,617219.9096,3069346.764,957.574,F,,,,,,,0,F,,10908.6883,35,0,35,5501.329884,219.1851851,FALSE
1004,616824.9541,3069020.648,952.476,F,,,,,,,0,F,,10908.6883,36,0,36,6013.522301,236.6289088,FALSE
1004,616529.7585,3068868.967,936.491,F,,,,,,,0,F,,10908.6883,37,0,37,6345.407501,260.4200355,FALSE
1004,616133.0528,3068924.972,904.413,F,,,,,,,0,F,,10908.6883,38,0,38,6746.046978,290.8628891,FALSE
1004,615989.5387,3069020.648,904.242,F,,,,,,,0,F,,10908.6883,39,0,39,6918.529464,314.5193758,FALSE
1004,615934.7,3069099.99,902.059,F,,,,,,,0,F,,10908.6883,40,0,40,7014.977898,270.7756367,FALSE
1004,615851.8585,3068986.812,905.1,F,,,,,,,0,F,,10908.6883,41,0,41,7155.234526,260.8432845,FALSE
1004,615734.0136,3069070.82,909.141,F,,,,,,,0,F,,10908.6883,42,0,42,7299.957747,286.177261,FALSE
1004,615403.2311,3069052.735,877.614,F,,,,,,,0,F,,10908.6883,43,0,43,7631.234275,290.9352711,FALSE
1004,615347.2256,3069108.74,879.316,F,,,,,,,0,F,,10908.6883,44,0,44,7710.438017,292.5,FALSE
1004,615090.5337,3069108.74,882.906,F,,,,,,,0,F,,10908.6883,45,0,45,7967.129909,264.9884092,FALSE
1004,614839.6757,3069064.403,880.186,F,,,,,,,0,F,,10908.6883,46,0,46,8221.875978,241.4836323,FALSE
1004,614711.3298,3068926.723,873.228,F,,,,,,,0,F,,10908.6883,47,0,47,8410.100627,248.9528945,FALSE
1004,614419.6344,3068951.808,865.545,F,,,,,,,0,F,,10908.6883,48,0,48,8702.872661,274.904056,FALSE
1004,613969.8402,3068990.312,862.834,F,,,,,,,0,F,,10908.6883,49,0,49,9154.311876,288.2641319,FALSE
1004,613570.2176,3069236.503,845.007,F,,,,,,,0,F,,10908.6883,50,0,50,9623.681843,276.8380093,FALSE
1004,612893.4845,3069017.148,827.413,F,,,,,,,0,F,,10908.6883,51,0,51,10335.0779,231.9138885,FALSE
1004,612790.8077,3068851.465,825.829,F,,,,,,,0,F,,10908.6883,52,0,52,10529.99674,241.6672592,FALSE
1005,612411.4944,3068861.711,808.283,T,,,,,,,0,F,,135.4112664,0,0,0,0,246.7078145,FALSE
1005,612287.1121,3068808.164,804.504,T,,,,,,,0,F,,135.4112664,1,0,1,135.418823,246.7078145,FALSE
1006,612063.0813,3068958.174,796.368,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,1,0,1,269.6162737,301.6039381,FALSE
1006,612009.8136,3068988.191,790.597,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,2,0,2,330.7592089,299.8547879,FALSE
1006,611969.8883,3069011.529,788.637,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,3,0,3,377.0051391,300.0209675,FALSE
1006,611931.8317,3069033.266,786.41,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,4,0,4,420.8321183,300.1974588,FALSE
1006,611877.7846,3069065.307,782.677,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,5,0,5,483.6629469,299.5749493,FALSE
1006,611862.4432,3069073.633,783.387,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,6,0,6,501.1180017,300.1464917,FALSE
1006,611836.3799,3069089.795,784.735,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,7,0,7,531.7858616,300.3494503,FALSE
1006,611795.2978,3069112.469,786.256,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,8,0,8,578.7096896,299.4689119,FALSE
1006,611742.7655,3069142.851,781.726,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,9,0,9,639.3949899,300.4443884,FALSE
1006,611719.3356,3069156.843,777.803,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,10,0,10,666.6850935,301.3557326,FALSE
1006,611701.5733,3069167.885,775.956,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,11,0,11,687.5993995,297.7014745,FALSE
1006,611678.5249,3069177.924,774.039,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,12,0,12,712.7394232,290.4111916,FALSE
1006,611659.7059,3069183.78,773.549,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,13,0,13,732.4485431,284.6443471,FALSE
1006,611637.8213,3069188.433,772.825,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,14,0,14,754.822328,279.4107187,FALSE
1006,611565.0768,3069197.131,772.293,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,15,0,15,828.0849252,275.611716,FALSE
1006,611448.3601,3069206.123,769.726,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,16,0,16,945.1474974,275.0707988,FALSE
1006,611330.0592,3069218.006,766.211,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,17,0,17,1064.043694,276.5060655,FALSE
1006,611283.5702,3069223.942,766.168,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,18,0,18,1110.910099,276.0849913,FALSE
1006,611230.5958,3069228.477,761.44,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,19,0,19,1164.078325,275.3970096,FALSE
1006,611193.3557,3069232.326,758.676,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,20,0,20,1201.516735,275.8024283,FALSE
1006,611173.2312,3069234.336,757.605,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,21,0,21,1221.74148,276.4638698,FALSE
1006,611150.1498,3069237.262,756.745,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,22,0,22,1245.007445,277.086214,FALSE
1006,611117.2471,3069241.272,756.335,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,23,0,23,1278.153678,278.6855048,FALSE
1006,611098.3615,3069244.746,756.862,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,24,0,24,1297.356062,282.2890491,FALSE
1006,611076.7362,3069250.2,758.701,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,25,0,25,1319.658609,285.593709,FALSE
