y,x,z
"28.18810020","84.03306150",783.800
"28.18702070","84.03415120",783.200
"28.18641060","84.03474780",781.000
"28.18559580","84.03555840",780.000
"28.18478000","84.03636340",778.800
"28.18454480","84.03659690",777.500
"28.18439390","84.03676730",776.700
"28.18387940","84.03729920",775.000
"28.18342140","84.03785160",773.500
"28.18336800","84.03791920",773.600
"28.18321650","84.03808190",773.100
"28.18264940","84.03872270",770.600
"28.18210740","84.03935750",767.200
"28.18199370","84.03949020",767.000
"28.18174370","84.03981180",766.000
"28.18144830","84.04025220",765.000
"28.18119580","84.04064080",764.000
"28.18096470","84.04101430",764.200
"28.18073630","84.04139280",763.300
"28.18023860","84.04216500",761.100
"28.17982790","84.04284570",759.000
"28.17958540","84.04322670",757.800
"28.17937500","84.04357310",757.800
"28.17919230","84.04387030",756.200
"28.17903070","84.04412510",754.700
"28.17856990","84.04487710",754.900
"28.17828020","84.04534850",754.000
"28.17805890","84.04567030",754.400
"28.17795790","84.04582060",754.600
"28.17779930","84.04605300",754.000
"28.17760020","84.04629840",752.700
"28.17550120","84.04902130",745.500
"28.17527100","84.04933140",745.000
"28.17509450","84.04955790",745.000
"28.17508600","84.04956830",745.000
"28.17497100","84.04973140",745.000
"28.17463070","84.05016790",743.500
"28.17458670","84.05022440",743.100
"28.17387440","84.05115950",740.900
"28.17271230","84.05267660",738.900
"28.17240710","84.05308680",736.300
"28.17234800","84.05316630",735.700
"28.17198020","84.05363380",733.300
"28.17181060","84.05385510",731.600
"28.17159160","84.05414080",730.600
"28.17149460","84.05427280",730.600
"28.17120440","84.05466770",731.900
"28.17103370","84.05485890",732.400
"28.17090600","84.05497530",732.200
"28.17077080","84.05509310",732.300
"28.17055760","84.05525600",732.000
"28.17035140","84.05538930",732.500
"28.17012120","84.05549770",733.900
"28.16994070","84.05555510",734.800
"28.16951880","84.05567040",732.400
"28.16741200","84.05611940",729.400
"28.16602440","84.05641570",726.500
"28.16467640","84.05672880",723.500
"28.16432180","84.05678840",721.600
"28.16340410","84.05699490",723.100
"28.16301010","84.05708360",724.100
"28.16291200","84.05710810",724.200
"28.16288130","84.05711570",724.200
"28.16245600","84.05718020",723.400
"28.16202690","84.05726550",721.000
"28.16189050","84.05730430",722.000
"28.16162060","84.05737940",726.300
"28.16122770","84.05749360",729.500
"28.16090710","84.05760980",725.600
"28.16084990","84.05763630",724.900
"28.15944180","84.05828880",716.000
"28.15927400","84.05835930",715.400
"28.15899940","84.05850180",714.000
"28.15867700","84.05862920",713.100
"28.15848420","84.05871210",712.700
"28.15756210","84.05916620",709.800
"28.15638420","84.05991140",710.700
"28.15603940","84.06015280",708.900
"28.15571140","84.06037270",706.700
"28.15456240","84.06116340",705.900
"28.15385780","84.06161970",704.100
"28.15324170","84.06203770",702.100
"28.15265290","84.06251380",699.100
"28.15195680","84.06306370",700.900
"28.15105840","84.06380280",695.900
"28.15078600","84.06406920",695.800
"28.15075510","84.06409440",695.700
"28.15041940","84.06442020",693.100
"28.15014290","84.06468850",691.600
"28.14976870","84.06504230",689.000
"28.14971700","84.06509120",688.700
"28.14838990","84.06635290",686.100
"28.14814460","84.06658720",686.000
"28.14718790","84.06762120",686.500
"28.14641170","84.06846530",685.000
"28.14605070","84.06885320",684.700
"28.14562900","84.06930230",681.300
"28.14517240","84.06980490",679.100
"28.14474040","84.07025240",678.000
"28.14390990","84.07122020",675.000
"28.14366100","84.07150710",673.600
"28.14337100","84.07184370",672.200
"28.14305350","84.07220700",666.900
"28.14278430","84.07249710",663.100
"28.14248690","84.07287760",664.800
"28.14208130","84.07333320",663.500
"28.14179210","84.07375200",662.800
"28.14174240","84.07379770",662.700
"28.14144670","84.07409370",666.100
"28.14114760","84.07436010",666.500
"28.14086370","84.07459800",666.800
"28.14059130","84.07485120",665.800
"28.14035870","84.07507670",665.000
"28.14013280","84.07531680",665.600
"28.13977190","84.07572150",664.600
"28.13891730","84.07665620",661.100
"28.13864740","84.07693400",660.900
"28.13846450","84.07712130",660.700
"28.13806570","84.07748270",658.900
"28.13765510","84.07783840",658.900
"28.13611220","84.07915970",658.000
"28.13598680","84.07926680",657.200
"28.13592230","84.07932300",656.800
"28.13558100","84.07961960",654.500
"28.13497870","84.08015820",651.900
"28.13446840","84.08072030",651.400
"28.13385270","84.08139830",651.000
"28.13291890","84.08243990",650.000
"28.13282650","84.08254580",650.100
"28.13280180","84.08257130",650.200
"28.13228970","84.08311930",651.000
"28.13177660","84.08369310",648.900
"28.13062120","84.08499180",644.200
"28.12994040","84.08572210",645.700
"28.12918750","84.08643450",640.200
"28.12843750","84.08716000",643.300
"28.12801200","84.08755470",640.600
"28.12658200","84.08894240",637.800
