id,X,Y,Z,length,bridge,tunnel,grade,hz. angle,speed,time
990,525359.3392,3095592.736,350.013,94.93096406700181,0,0,-5.58827148985421,13.87747693644758,62.964462732371054,5.427688188078616
991,525377.8141,3095601.728,348.368,20.61271498392083,0,0,-7.980511064569522,2.184335158460016,80.0,0.9275721742764376
992,525512.8377,3095672.064,344.604,152.29147431465782,0,0,-2.471576309139277,1.5628894776553215,80.0,6.853116344159602
993,525526.6127,3095675.24,343.748,14.162285726656462,0,0,-6.044222073480828,14.532367200352944,56.89619701573864,0.8960920288197819
994,525540.7982,3095675.015,343.254,14.195882193345604,0,0,-3.479882357938533,13.892083995195792,58.34669759841203,0.8758880622137397
995,525556.6955,3095670.052,342.762,16.661259865091356,0,0,-2.9529579634662335,16.429206255741185,53.29872946613208,1.12536520316948
996,525570.1211,3095661.681,342.46,15.824398262288048,0,0,-1.9084453954861142,14.606050952484486,59.50979138270281,0.9572850520997678
997,525585.1653,3095650.798,342.294,18.5686617352531,0,0,-0.8939793420052528,3.9380768416806116,80.0,0.8355897780863897
998,525612.5248,3095630.932,342.872,33.816183703191776,0,0,1.7092407738058162,0.10172614426647832,80.0,1.5217282666436298
999,525637.1496,3095615.781,342.769,28.912699373141848,0,0,-0.35624484130903883,4.380861203573421,80.0,1.3010714717913832
1000,525696.1612,3095574.553,337.471,72.18161623686574,0,0,-7.339819023467811,3.3368721108846553,80.0,3.2481727306589585
1001,525707.8448,3095566.699,334.774,14.334072483313477,0,0,-18.815308790573116,1.0298247549539499,80.0,0.6450332617491065
1002,525719.9266,3095561.217,331.063,13.776564747401213,0,0,-26.93704902522996,9.504241512574625,74.1078839409389,0.6692355853821188
1003,525734.9753,3095557.571,326.336,16.189540348404762,0,0,-29.197864165833163,10.786519952811252,70.99439529178663,0.8209429070381821
1004,525742.0195,3095561.841,324.075,8.542000622817485,1,0,-26.469209027688624,44.84228173605051,26.7343661000524,1.150249911557943
1005,526083.2857,3095668.769,331.835,357.7099859472401,1,0,2.1693551493819747,13.825893907212548,46.19394567556152,27.877158588151083
1006,526096.1229,3095668.852,335.778,13.429364908243222,0,0,29.361031046075347,17.02674996530575,44.97896084309127,1.0748517254173395
1007,526109.5154,3095671.408,340.699,14.495117565970618,0,0,33.94936244982759,10.434689553178822,51.87372950508394,1.0059508682979894
1008,526118.1435,3095670.972,343.195,8.992453592280198,0,0,27.756606963673807,13.697976976048272,37.3208376876872,0.8674197831011996
1009,526126.1081,3095667.986,345.094,8.715345670676427,0,0,21.789152969449727,17.65863069592209,33.96546856047138,0.923739484369996
1010,526132.7144,3095665.352,346.713,7.293991821475468,0,0,22.196350635234577,1.1862076336470948,80.0,0.3282296319663961
1011,526141.4416,3095655.476,345.922,13.20322221439233,0,0,-5.990961805806448,26.796008312828416,27.720461495649555,1.7146756369576313
1012,526158.4527,3095631.401,342.619,29.66298968743139,0,0,-11.135087982717813,6.221752299202265,80.0,1.3348345359344127
1013,526168.172,3095617.582,343.422,16.913732955608843,0,0,4.74762136843192,0.12473680572813949,80.0,0.761117983002398
1014,526190.3246,3095595.124,341.932,31.58036653944762,0,0,-4.718121299000195,9.487942207282892,75.50154252991913,1.5057880373365824
1015,526204.3074,3095584.029,340.247,17.929220446917267,0,0,-9.39806616237863,6.961119806123944,80.0,0.8068149201112771
1016,526228.1128,3095566.074,341.284,29.835456476489114,0,0,3.475730296994627,1.4060331408821907,80.0,1.34259554144201
1017,526251.6847,3095546.934,344.412,30.52471873112161,0,0,10.247432671052985,2.050955296078175,80.0,1.3736123429004725
1018,526272.1771,3095528.074,344.873,27.854094470195957,0,0,1.655052906111471,3.54860418690468,80.0,1.2534342511588181
1019,526286.2408,3095511.528,344.368,21.721252235876317,0,0,-2.3249120010028825,7.011625611681689,80.0,0.9774563506144343
1020,526296.122,3095495.792,344.104,18.583043492387702,0,0,-1.420649960315457,8.237543664290179,80.0,0.8362369571574467
1021,526304.6327,3095476.995,344.756,20.64423230545885,0,0,3.158267114769784,7.7666423011249925,80.0,0.9289904537456483
1022,526312.245,3095450.584,348.052,27.68305706216519,0,0,11.906199494508636,8.281263448318523,80.0,1.2457375677974336
1023,526314.457,3095428.582,347.02,22.136981998325567,0,0,-4.661882094307613,10.33726715697862,80.0,0.9961641899246505
1024,526320.2747,3095358.863,346.569,69.9627614899135,0,0,-0.6446286430031574,0.9710219144038577,80.0,3.1483242670461076
1025,526325.1922,3095332.246,346.593,27.067454096303976,0,0,0.08866737120754212,5.69739290780587,80.0,1.218035434333679
1026,526331.165,3095317.976,347.117,15.478430664650595,0,0,3.385356121384477,12.244673671110686,62.99815275947813,0.8845076871616472
1027,526340.0196,3095308.466,348.393,13.056500953742631,0,0,9.772909330919855,20.24402218802234,43.63806708849578,1.077119280699417
1028,526353.0611,3095300.716,348.653,15.1726998998633,0,0,1.7136040501426528,16.32273082200043,48.90483110724471,1.1168982368986502
1029,526359.2931,3095298.469,348.774,6.625818741814755,0,0,1.8261894071500067,10.893991473370736,43.717259025016425,0.5456185498016629
1030,526364.5679,3095297.549,348.932,5.356760125300397,0,0,2.9495440584275765,9.933519478895558,41.0400805694429,0.46989031657603314
1031,526373.3161,3095296.261,349.239,8.847835681170395,0,0,3.46977510729889,1.5181734383817607,80.0,0.39815260565266775
1032,526376.5441,3095295.658,349.344,3.285516397792257,0,0,3.195844649278702,2.2055680225728027,67.95783333328197,0.17404702963447036
1033,526392.3661,3095294.02,349.829,15.913954662404139,0,0,3.04763969917421,4.670481249717944,46.74111606130514,1.22569252966732
1034,526448.129,3095291.87,349.6,55.80480227907384,0,0,-0.41035894877788565,3.702580683736291,80.0,2.511216102558323
1035,526521.3389,3095291.819,351.254,73.2285994336391,0,0,2.2586803691348445,2.1680943827950268,80.0,3.29528697451376
1036,526530.1542,3095291.329,351.543,8.833636572245391,0,0,3.2715858031561216,3.14160822415094,80.0,0.3975136457510426
1037,526594.3466,3095289.741,350.719,64.21732583787202,0,0,-1.2831428111477978,1.764420540964463,80.0,2.889779662704241
1038,526637.4951,3095288.905,348.501,43.21355657940052,0,0,-5.132648584304021,0.3071375210600912,80.0,1.9446100460730231
1039,526681.3695,3095289.035,347.147,43.895480306835765,0,0,-3.084600032931247,1.2797310460040756,80.0,1.9752966138076093
1040,526692.997,3095289.182,347.015,11.629178356559223,0,0,-1.1350758923183326,0.5545529106488727,80.0,0.523313026045165
1041,526706.39,3095291.694,347.243,13.62844734375845,0,0,1.6729712068369107,9.898693088332896,61.24094632874178,0.8011373660714369
1042,526717.7733,3095295.453,347.68,11.99585632167571,0,0,3.6429245923059455,7.651273575875485,69.90817176960105,0.6177401248649332
1043,526721.1739,3095296.901,347.871,3.700981675169739,0,0,5.1607929129023375,4.790367905730573,48.638346664952635,0.2739306523387977
1044,526729.0561,3095300.254,347.536,8.572275709558395,0,0,-3.9079471000500194,0.020294264437749714,80.0,0.3857524069301278
1045,526738.7614,3095306.603,347.324,11.599465206958227,0,0,-1.827670467711008,10.147494407817812,52.719339835630386,0.7920826564832553
1046,526747.1271,3095313.702,347.528,10.973711928530356,0,0,1.8589881102093795,7.125551612836537,70.24445070823604,0.5623983466935609
1047,526762.7005,3095331.111,347.638,23.358428212516564,0,0,0.4709220971512695,7.868042538933529,66.45320244867413,1.2654069099229301
1048,526913.5308,3095515.166,338.883,238.1232295432888,0,0,-3.676667755931141,2.4804488317351883,80.0,10.715545329447997
1049,526980.3812,3095596.072,339.672,104.95417732111855,0,0,0.7517566428880806,0.23188267559614037,80.0,4.722937979450335
1050,526988.5724,3095610.717,338.943,16.795928775764796,0,0,-4.340337529008408,10.346950418149326,72.68715922227192,0.8318572941866493
1051,526994.8568,3095629.058,338.562,19.391521997011942,0,0,-1.9647761535101806,10.30541242880174,73.31861069690939,0.9521385979042519
1052,526995.0709,3095643.331,338.965,14.280293302240883,0,0,2.822070887974856,18.05422981233073,50.05514320063441,1.0270484230163106
1053,526993.5566,3095656.292,339.703,13.070014135164552,0,0,5.6465126385321085,7.523339273798492,72.95832206753933,0.6449168450315392
1054,526991.4911,3095669.419,340.558,13.315984539594302,0,0,6.420854556099293,2.2780826938345218,80.0,0.5992193042817436
1055,526987.2059,3095680.988,341.804,12.399887742745468,0,0,10.048478065690158,11.382784681976643,56.40302179987949,0.7914397925747139
1056,526976.3361,3095720.634,346.693,41.39879453624424,0,0,11.809522607523604,4.992708917914303,80.0,1.8629457541309908
1057,526975.4586,3095734.804,345.669,14.234025510999706,0,0,-7.194029540053015,11.7884974622332,61.33799263652451,0.8354119467725445
1058,526977.5914,3095748.882,341.507,14.834458663735225,1,0,-28.056298476024146,12.15833986927194,66.26628658630257,0.8059007670498558
1059,526988.3352,3095792.21,332.209,45.598219553144,1,0,-20.391147047229182,5.311686567931348,80.0,2.05191987989148
1060,527000.5625,3095831.906,331.149,41.55000458833167,0,0,-2.5511429192421273,3.1936425085164077,80.0,1.8697502064749252
1061,527009.8573,3095858.887,330.707,28.54055066126865,0,0,-1.5486736932508787,1.8884753792568172,80.0,1.2843247797570894
1062,527014.5511,3095871.385,330.019,13.36806292743577,0,0,-5.14659456448234,1.5758389318499593,80.0,0.6015628317346097
1063,527021.3053,3095881.905,329.138,12.532588664754842,0,0,-7.02967298749418,12.117476046361364,59.15541477165226,0.762691283076558
1064,527025.3078,3095886.79,329.804,6.350337569918502,0,0,10.487631447418376,6.627451743560617,54.78868494634831,0.4172616165927946
1065,527032.3613,3095895.415,331.099,11.216929715859804,0,0,11.545048714792193,0.05310247800770347,80.0,0.5047618372136912
1066,527051.2647,3095914.406,335.011,27.079519134571303,0,0,14.44634219891204,5.591349704971982,74.56171289140134,1.307457475211773
1067,527080.956,3095943.548,338.786,41.774155702856014,0,0,9.036687723510084,0.6673790059995561,80.0,1.8798370066285206
1068,527121.7954,3095984.495,339.412,57.83515606763872,0,0,1.0823866356785894,0.6103088748868647,80.0,2.6025820230437424
1069,527151.8273,3096015.179,341.521,42.98686723415621,0,0,4.906149565428864,0.5399640597381593,80.0,1.9344090255370294
1070,527158.4059,3096020.523,341.623,8.476244331102269,0,0,1.2033631407450374,6.527321545020061,63.524737231004245,0.48035585697905253
