ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,fid
1480.2,,,,,,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>fid</b></td><td>1001</td></tr><tr><td><b>x</b></td><td>621250.1298</td></tr><tr><td><b>y</b></td><td>3068038.883</td></tr><tr><td><b>z</b></td><td></td></tr><tr><td><b>bridge</b></td><td>F</td></tr><tr><td><b>length</b></td><td>1517.001693</td></tr><tr><td><b>vertex_index</b></td><td>4</td></tr><tr><td><b>vertex_part</b></td><td></td></tr><tr><td><b>vertex_part_index</b></td><td>4</td></tr><tr><td><b>distance</b></td><td>747.4642161</td></tr><tr><td><b>angle</b></td><td>259.2514835</td></tr></table>",,,,,,,,,,,,,,,,,
1471.7,,,,,,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>fid</b></td><td>1001</td></tr><tr><td><b>x</b></td><td>621161.4544</td></tr><tr><td><b>y</b></td><td>3067959.542</td></tr><tr><td><b>z</b></td><td></td></tr><tr><td><b>bridge</b></td><td>F</td></tr><tr><td><b>length</b></td><td>1517.001693</td></tr><tr><td><b>vertex_index</b></td><td>5</td></tr><tr><td><b>vertex_part</b></td><td></td></tr><tr><td><b>vertex_part_index</b></td><td>5</td></tr><tr><td><b>distance</b></td><td>866.4530308</td></tr><tr><td><b>angle</b></td><td>265.8428367</td></tr></table>",,,,,,,,,,,,,,,,,
1466.7,,,,,,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>fid</b></td><td>1001</td></tr><tr><td><b>x</b></td><td>621077.7395</td></tr><tr><td><b>y</b></td><td>3068014.964</td></tr><tr><td><b>z</b></td><td></td></tr><tr><td><b>bridge</b></td><td>F</td></tr><tr><td><b>length</b></td><td>1517.001693</td></tr><tr><td><b>vertex_index</b></td><td>6</td></tr><tr><td><b>vertex_part</b></td><td></td></tr><tr><td><b>vertex_part_index</b></td><td>6</td></tr><tr><td><b>distance</b></td><td>966.8511744</td></tr><tr><td><b>angle</b></td><td>325.5969408</td></tr></table>",,,,,,,,,,,,,,,,,
1457.2,,,,,,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>fid</b></td><td>1001</td></tr><tr><td><b>x</b></td><td>621045.653</td></tr><tr><td><b>y</b></td><td>3068161.978</td></tr><tr><td><b>z</b></td><td></td></tr><tr><td><b>bridge</b></td><td>F</td></tr><tr><td><b>length</b></td><td>1517.001693</td></tr><tr><td><b>vertex_index</b></td><td>7</td></tr><tr><td><b>vertex_part</b></td><td></td></tr><tr><td><b>vertex_part_index</b></td><td>7</td></tr><tr><td><b>distance</b></td><td>1117.326389</td></tr><tr><td><b>angle</b></td><td>339.7219078</td></tr></table>",,,,,,,,,,,,,,,,,
1462.5,,,,,,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>fid</b></td><td>1001</td></tr><tr><td><b>x</b></td><td>620979.5707</td></tr><tr><td><b>y</b></td><td>3068284.993</td></tr><tr><td><b>z</b></td><td></td></tr><tr><td><b>bridge</b></td><td>F</td></tr><tr><td><b>length</b></td><td>1517.001693</td></tr><tr><td><b>vertex_index</b></td><td>8</td></tr><tr><td><b>vertex_part</b></td><td></td></tr><tr><td><b>vertex_part_index</b></td><td>8</td></tr><tr><td><b>distance</b></td><td>1256.966968</td></tr><tr><td><b>angle</b></td><td>327.8003019</td></tr></table>",,,,,,,,,,,,,,,,,
1445.5,,,,,,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>fid</b></td><td>1001</td></tr><tr><td><b>x</b></td><td>620935.3921</td></tr><tr><td><b>y</b></td><td>3068345.454</td></tr><tr><td><b>z</b></td><td></td></tr><tr><td><b>bridge</b></td><td>F</td></tr><tr><td><b>length</b></td><td>1517.001693</td></tr><tr><td><b>vertex_index</b></td><td>9</td></tr><tr><td><b>vertex_part</b></td><td></td></tr><tr><td><b>vertex_part_index</b></td><td>9</td></tr><tr><td><b>distance</b></td><td>1331.849244</td></tr><tr><td><b>angle</b></td><td>10.07737936</td></tr></table>",,,,,,,,,,,,,,,,,
1445.4,,,,,,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>fid</b></td><td>1001</td></tr><tr><td><b>x</b></td><td>620973.8959</td></tr><tr><td><b>y</b></td><td>3068371.124</td></tr><tr><td><b>z</b></td><td></td></tr><tr><td><b>bridge</b></td><td>F</td></tr><tr><td><b>length</b></td><td>1517.001693</td></tr><tr><td><b>vertex_index</b></td><td>10</td></tr><tr><td><b>vertex_part</b></td><td></td></tr><tr><td><b>vertex_part_index</b></td><td>10</td></tr><tr><td><b>distance</b></td><td>1378.125033</td></tr><tr><td><b>angle</b></td><td>97.14348578</td></tr></table>",,,,,,,,,,,,,,,,,
1435.2,,,,,,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>fid</b></td><td>1001</td></tr><tr><td><b>x</b></td><td>621066.9467</td></tr><tr><td><b>y</b></td><td>3068267.863</td></tr><tr><td><b>z</b></td><td></td></tr><tr><td><b>bridge</b></td><td>F</td></tr><tr><td><b>length</b></td><td>1517.001693</td></tr><tr><td><b>vertex_index</b></td><td>11</td></tr><tr><td><b>vertex_part</b></td><td></td></tr><tr><td><b>vertex_part_index</b></td><td>11</td></tr><tr><td><b>distance</b></td><td>1517.125433</td></tr><tr><td><b>angle</b></td><td>137.9770391</td></tr></table>",,,,,,,,,,,,,,,,,
1435.2,,,,,,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>fid</b></td><td>1002</td></tr><tr><td><b>x</b></td><td>621066.9467</td></tr><tr><td><b>y</b></td><td>3068267.863</td></tr><tr><td><b>z</b></td><td></td></tr><tr><td><b>bridge</b></td><td>T</td></tr><tr><td><b>length</b></td><td>233.2005527</td></tr><tr><td><b>vertex_index</b></td><td></td></tr><tr><td><b>vertex_part</b></td><td></td></tr><tr><td><b>vertex_part_index</b></td><td></td></tr><tr><td><b>distance</b></td><td></td></tr><tr><td><b>angle</b></td><td>120.767118</td></tr></table>",,,,,,,,,,,,,,,,,
1434.2,,,,,,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>fid</b></td><td>1002</td></tr><tr><td><b>x</b></td><td>621267.3414</td></tr><tr><td><b>y</b></td><td>3068148.56</td></tr><tr><td><b>z</b></td><td></td></tr><tr><td><b>bridge</b></td><td>T</td></tr><tr><td><b>length</b></td><td>233.2005527</td></tr><tr><td><b>vertex_index</b></td><td>1</td></tr><tr><td><b>vertex_part</b></td><td></td></tr><tr><td><b>vertex_part_index</b></td><td>1</td></tr><tr><td><b>distance</b></td><td>233.2194927</td></tr><tr><td><b>angle</b></td><td>120.767118</td></tr></table>",,,,,,,,,,,,,,,,,
