id,lat,lon,alt,x,y,z,length,grade,hz. angle
3704,27.8131017,84.6801655,310.1,523062.52686782135,5617299.803146155,2956204.7973554903,17.546771108837092,-7.978675913170682,2.8329618210520056
3705,27.8129494,84.680323,312.8,523048.0403287781,5617311.495349402,2956191.161225594,23.076210017362897,11.70036153236804,15.067464895257803
3706,27.812777,84.6805197,312.4,523029.5531197343,5617321.854770358,2956174.1127375728,27.198261793544685,-1.4706822187253572,9.642923473536994
3707,27.8126145,84.6807273,312.9,523010.0233207671,5617332.594181798,2956158.452435448,27.239549710565917,1.8355663192407896,0.45801922305484355
3708,27.8124773,84.6808851,308.3,522994.83590750303,5617337.079057724,2956142.887068587,22.204780549226204,-20.71625968021678,12.354353955180668
3709,27.8123714,84.681009,308.3,522983.1985199052,5617343.6867857715,2956132.5293172305,16.922584708331097,0.0,13.135998098087763
3710,27.8122927,84.6811073,309.1,522974.005590897,5617349.358658021,2956125.205168311,13.05079445713139,6.1298950238455765,2.085858758017899
3711,27.8122355,84.6811801,310.4,522967.2501757077,5617354.126192089,2956120.217152514,9.65636148138432,13.462627745513817,3.5381227937799204
3712,27.8121593,84.6812917,308.6,522956.5280576193,5617357.500373352,2956111.924414388,13.968479556720878,-12.886155523876553,17.743512108092478
3713,27.8120995,84.6813912,306.0,522946.8476820646,5617359.2114014365,2956104.862454321,12.104072371516535,-21.480373879111774,7.444822644240033
3714,27.8120539,84.6814674,303.8,522939.416096289,5617360.327649154,2956099.3759867446,9.304611897863149,-23.644188754452294,1.4814795343226876
3715,27.8119733,84.6815718,300.8,522929.3226529432,5617362.806772298,2956090.09301145,13.93546843348777,-21.527801625891666,5.257505903385016
3716,27.8118193,84.6817356,298.2,522913.7916843961,5617369.976176598,2956073.8176128427,23.611436674957137,-11.01161287130675,10.97933196395517
3717,27.8115678,84.6820099,299.1,522888.1833330702,5617386.278543479,2956049.638958383,38.80930500574616,2.3190314793495497,7.70198682013333
3718,27.8114799,84.6820895,301.7,522881.0154657989,5617393.840498527,2956042.254738607,12.77059853970126,20.359265009522314,14.051575052490554
3719,27.811395,84.6821833,302.2,522872.26879153994,5617399.527446834,2956034.1841467656,13.190153309102973,3.790706508732791,13.501268330546992
3720,27.8113065,84.6822683,305.7,522864.64811928,5617407.962283171,2956027.161122527,13.362034993673669,26.193614981977632,14.871662898069292
3721,27.8110363,84.6825468,317.2,522839.5865426281,5617434.604867091,2956006.098808244,42.20818623448888,27.245899494736392,1.1515022437798186
3722,27.8110114,84.68259,318.2,522835.55291501543,5617437.167450148,2956004.1299380977,5.168503970278652,19.347958437305532,14.323449992170321
3723,27.8109482,84.6826852,319.5,522826.6299909229,5617442.4493976,2955998.5549721285,11.772756211271844,11.042443899036355,1.804473293701697
3724,27.810891,84.6827778,318.3,522817.7281690511,5617445.195599979,2955992.4004639806,11.165215209898133,-10.747665651228742,13.478580959197819
3725,27.8108449,84.6828497,318.5,522810.9171548306,5617448.411834279,2955987.984804703,8.731100998343658,2.290661853962402,8.132248386739672
3726,27.8107408,84.6830148,321.5,522795.4771604419,5617457.94380412,2955979.2025938397,20.158846777793276,14.881803671947946,6.412161852484056
3727,27.8106503,84.6831947,323.5,522778.4386617408,5617466.026759692,2955971.2840116466,20.453570659247383,9.778243776207203,6.309982153252596
3728,27.8104994,84.6835087,323.2,522748.3546619943,5617476.431070946,2955956.3846982024,35.14663959100262,-0.853566666660246,6.301829739139866
3729,27.8103659,84.6837966,318.3,522720.36879695655,5617481.646070752,2955941.0411274433,32.339295424119626,-15.15184525741216,8.521874941583592
