X,Y,Z,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
85.135043082,27.737892203,806.573,"0","0","91",806.573,,,,,,,,,,,,,,,,,,,,,,
85.135787417,27.739355253,826.187,"0","0","92",826.187,,,,,,,,,,,,,,,,,,,,,,
85.136602191,27.740912528,836.355,"0","0","93",836.355,,,,,,,,,,,,,,,,,,,,,,
85.137274824,27.74087173,844.815,"0","0","94",844.815,,,,,,,,,,,,,,,,,,,,,,
85.13701455,27.739570769,837.498,"0","0","95",837.498,,,,,,,,,,,,,,,,,,,,,,
85.136255111,27.738640631,832.242,"0","0","96",832.242,,,,,,,,,,,,,,,,,,,,,,
85.136203156,27.737206527,821.787,"0","0","97",821.787,,,,,,,,,,,,,,,,,,,,,,
85.13867394,27.737605942,855.085,"0","0","98",855.085,,,,,,,,,,,,,,,,,,,,,,
85.14063395,27.737927706,883.521,"0","0","99",883.521,,,,,,,,,,,,,,,,,,,,,,
85.14236438,27.73865974,891.496,"0","0","100",891.496,,,,,,,,,,,,,,,,,,,,,,
85.14594613,27.73936757,894.334,"0","0","101",894.334,,,,,,,,,,,,,,,,,,,,,,
85.1465755,27.74134427,879.861,"0","0","102",879.861,,,,,,,,,,,,,,,,,,,,,,
85.14859396,27.74116621,888.546,"0","0","103",888.546,,,,,,,,,,,,,,,,,,,,,,
85.15281846,27.74140761,873.763,"0","0","104",873.763,,,,,,,,,,,,,,,,,,,,,,
85.15519744,27.74103056,894.859,"0","0","105",894.859,,,,,,,,,,,,,,,,,,,,,,
85.15504698,27.73781697,904.293,"0","0","106",904.293,,,,,,,,,,,,,,,,,,,,,,
85.16515983,27.73768608,958.854,"0","0","107",958.854,,,,,,,,,,,,,,,,,,,,,,
85.16778118,27.74213766,988.779,"0","0","108",988.779,,,,,,,,,,,,,,,,,,,,,,
85.16914661,27.74508745,960.869,"0","0","109",960.869,,,,,,,,,,,,,,,,,,,,,,
85.17329713,27.74475272,994.053,"0","0","110",994.053,,,,,,,,,,,,,,,,,,,,,,
85.17486181,27.74181268,1014.313,"0","0","111",1014.313,,,,,,,,,,,,,,,,,,,,,,
85.17695989,27.74091408,996.578,"0","0","112",996.578,,,,,,,,,,,,,,,,,,,,,,
85.17844331,27.73916153,1024.816,"0","0","113",1024.816,,,,,,,,,,,,,,,,,,,,,,
85.1787822,27.74417604,1016.65,"0","0","114",1016.65,,,,,,,,,,,,,,,,,,,,,,
85.18105631,27.7460874,1058.443,"0","0","115",1058.443,,,,,,,,,,,,,,,,,,,,,,
